stn_code,sampling_date,state,location,agency,type,so2,no2,rspm,spm,location_monitoring_station,pm2_5,date
349.0,1/1/2004,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,106.7,"Worli, Mumbai",,2004-01-01
349.0,1/5/2004,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,160.7,"Worli, Mumbai",,2004-05-01
349.0,1/7/2004,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,109.7,"Worli, Mumbai",,2004-07-01
349.0,1/12/2004,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,185.3,"Worli, Mumbai",,2004-12-01
349.0,14-01-04,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,149.0,"Worli, Mumbai",,2004-01-14
349.0,19-01-04,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,87.0,"Worli, Mumbai",,2004-01-19
349.0,21-01-04,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,41.3,"Worli, Mumbai",,2004-01-21
349.0,28-01-04,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,92.7,"Worli, Mumbai",,2004-01-28
349.0,2/3/2004,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,118.3,"Worli, Mumbai",,2004-03-02
349.0,2/5/2004,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,117.3,"Worli, Mumbai",,2004-05-02
349.0,2/9/2004,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,91.3,"Worli, Mumbai",,2004-09-02
349.0,2/11/2004,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,89.0,"Worli, Mumbai",,2004-11-02
349.0,16-02-04,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,126.0,"Worli, Mumbai",,2004-02-16
349.0,18-02-04,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,51.0,"Worli, Mumbai",,2004-02-18
349.0,23-02-04,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,123.0,"Worli, Mumbai",,2004-02-23
349.0,25-02-04,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,102.7,"Worli, Mumbai",,2004-02-25
349.0,3/3/2004,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,111.7,"Worli, Mumbai",,2004-03-03
349.0,3/8/2004,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,141.7,"Worli, Mumbai",,2004-08-03
349.0,3/10/2004,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,90.0,"Worli, Mumbai",,2004-10-03
349.0,15-03-04,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,138.0,"Worli, Mumbai",,2004-03-15
349.0,17-03-04,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,43.3,"Worli, Mumbai",,2004-03-17
349.0,22-03-04,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,58.0,"Worli, Mumbai",,2004-03-22
349.0,24-03-04,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,139.0,"Worli, Mumbai",,2004-03-24
349.0,29-03-04,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,41.3,"Worli, Mumbai",,2004-03-29
349.0,4/1/2004,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,81.3,"Worli, Mumbai",,2004-01-04
349.0,4/6/2004,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,50.0,"Worli, Mumbai",,2004-06-04
349.0,4/12/2004,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,63.0,"Worli, Mumbai",,2004-12-04
349.0,14-04-04,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,37.0,"Worli, Mumbai",,2004-04-14
349.0,19-04-04,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,65.0,"Worli, Mumbai",,2004-04-19
349.0,21-04-04,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,73.3,"Worli, Mumbai",,2004-04-21
349.0,26-04-04,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,74.3,"Worli, Mumbai",,2004-04-26
349.0,28-04-04,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,67.0,"Worli, Mumbai",,2004-04-28
349.0,5/3/2004,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,119.3,"Worli, Mumbai",,2004-03-05
349.0,5/6/2004,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,128.0,"Worli, Mumbai",,2004-06-05
349.0,5/10/2004,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,30.3,"Worli, Mumbai",,2004-10-05
349.0,5/12/2004,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,39.3,"Worli, Mumbai",,2004-12-05
349.0,17-05-04,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,120.0,"Worli, Mumbai",,2004-05-17
349.0,19-05-04,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,27.0,"Worli, Mumbai",,2004-05-19
349.0,24-05-04,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,70.0,"Worli, Mumbai",,2004-05-24
349.0,26-05-04,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,107.0,"Worli, Mumbai",,2004-05-26
349.0,6/2/2004,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,37.7,"Worli, Mumbai",,2004-02-06
349.0,6/7/2004,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,21.3,"Worli, Mumbai",,2004-07-06
349.0,6/9/2004,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,37.7,"Worli, Mumbai",,2004-09-06
349.0,14-06-04,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,45.7,"Worli, Mumbai",,2004-06-14
349.0,16-06-04,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,96.7,"Worli, Mumbai",,2004-06-16
349.0,21-06-04,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,23.7,"Worli, Mumbai",,2004-06-21
349.0,23-06-04,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,24.7,"Worli, Mumbai",,2004-06-23
349.0,28-06-04,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,43.0,"Worli, Mumbai",,2004-06-28
349.0,7/5/2004,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,15.3,"Worli, Mumbai",,2004-05-07
349.0,7/7/2004,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,31.7,"Worli, Mumbai",,2004-07-07
349.0,7/12/2004,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,68.7,"Worli, Mumbai",,2004-12-07
349.0,14-07-04,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,44.3,"Worli, Mumbai",,2004-07-14
349.0,19-07-04,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,25.7,"Worli, Mumbai",,2004-07-19
349.0,21-07-04,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,37.0,"Worli, Mumbai",,2004-07-21
349.0,26-07-04,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,62.0,"Worli, Mumbai",,2004-07-26
349.0,28-07-04,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,34.0,"Worli, Mumbai",,2004-07-28
349.0,8/2/2004,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,88.3,"Worli, Mumbai",,2004-02-08
349.0,8/9/2004,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,23.0,"Worli, Mumbai",,2004-09-08
349.0,13-08-04,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,57.3,"Worli, Mumbai",,2004-08-13
349.0,16-08-04,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,13.3,"Worli, Mumbai",,2004-08-16
349.0,18-08-04,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,13.7,"Worli, Mumbai",,2004-08-18
349.0,23-08-04,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,24.0,"Worli, Mumbai",,2004-08-23
349.0,25-08-04,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,47.0,"Worli, Mumbai",,2004-08-25
349.0,30-08-04,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,43.3,"Worli, Mumbai",,2004-08-30
349.0,9/2/2004,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,55.7,"Worli, Mumbai",,2004-02-09
349.0,9/8/2004,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,32.3,"Worli, Mumbai",,2004-08-09
349.0,13-09-04,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,48.0,"Worli, Mumbai",,2004-09-13
349.0,15-09-04,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,42.7,"Worli, Mumbai",,2004-09-15
349.0,20-09-04,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,56.7,"Worli, Mumbai",,2004-09-20
349.0,22-09-04,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,49.7,"Worli, Mumbai",,2004-09-22
349.0,24-09-04,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,49.3,"Worli, Mumbai",,2004-09-24
349.0,29-09-04,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,41.0,"Worli, Mumbai",,2004-09-29
349.0,10/4/2004,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,25.0,"Worli, Mumbai",,2004-04-10
349.0,10/6/2004,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,15.7,"Worli, Mumbai",,2004-06-10
349.0,10/11/2004,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,114.0,"Worli, Mumbai",,2004-11-10
349.0,18-10-04,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,153.0,"Worli, Mumbai",,2004-10-18
349.0,20-10-04,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,102.7,"Worli, Mumbai",,2004-10-20
349.0,25-10-04,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,133.0,"Worli, Mumbai",,2004-10-25
349.0,27-10-04,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,121.3,"Worli, Mumbai",,2004-10-27
349.0,29-10-04,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,114.0,"Worli, Mumbai",,2004-10-29
349.0,11/1/2004,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,104.0,"Worli, Mumbai",,2004-01-11
349.0,11/3/2004,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,116.3,"Worli, Mumbai",,2004-03-11
349.0,11/9/2004,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,79.0,"Worli, Mumbai",,2004-09-11
349.0,11/11/2004,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,123.7,"Worli, Mumbai",,2004-11-11
349.0,11/12/2004,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,200.3,"Worli, Mumbai",,2004-12-11
349.0,16-11-04,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,82.7,"Worli, Mumbai",,2004-11-16
349.0,18-11-04,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,93.0,"Worli, Mumbai",,2004-11-18
349.0,20-11-04,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,102.7,"Worli, Mumbai",,2004-11-20
349.0,24-11-04,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,100.0,"Worli, Mumbai",,2004-11-24
349.0,29-11-04,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,115.0,"Worli, Mumbai",,2004-11-29
349.0,12/1/2004,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,130.3,"Worli, Mumbai",,2004-01-12
349.0,12/3/2004,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,118.7,"Worli, Mumbai",,2004-03-12
349.0,12/6/2004,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,133.3,"Worli, Mumbai",,2004-06-12
349.0,12/8/2004,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,120.7,"Worli, Mumbai",,2004-08-12
349.0,12/10/2004,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,111.0,"Worli, Mumbai",,2004-10-12
349.0,13-12-04,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,121.0,"Worli, Mumbai",,2004-12-13
349.0,15-12-04,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,158.3,"Worli, Mumbai",,2004-12-15
349.0,17-12-04,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,133.3,"Worli, Mumbai",,2004-12-17
349.0,20-12-04,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,80.7,"Worli, Mumbai",,2004-12-20
349.0,22-12-04,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,69.0,"Worli, Mumbai",,2004-12-22
349.0,24-12-04,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,99.7,"Worli, Mumbai",,2004-12-24
349.0,27-12-04,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,125.7,"Worli, Mumbai",,2004-12-27
349.0,29-12-04,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,162.3,"Worli, Mumbai",,2004-12-29
349.0,31-12-04,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,42.7,"Worli, Mumbai",,2004-12-31
169.0,1/1/2004,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,141.0,"Bank of India, Kalbadevi Branch, Kalbadevi, Mumbai",,2004-01-01
169.0,1/5/2004,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,170.3,"Bank of India, Kalbadevi Branch, Kalbadevi, Mumbai",,2004-05-01
169.0,1/7/2004,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,113.3,"Bank of India, Kalbadevi Branch, Kalbadevi, Mumbai",,2004-07-01
169.0,1/12/2004,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,161.0,"Bank of India, Kalbadevi Branch, Kalbadevi, Mumbai",,2004-12-01
169.0,14-01-04,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,139.3,"Bank of India, Kalbadevi Branch, Kalbadevi, Mumbai",,2004-01-14
169.0,19-01-04,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,97.7,"Bank of India, Kalbadevi Branch, Kalbadevi, Mumbai",,2004-01-19
169.0,21-01-04,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,46.7,"Bank of India, Kalbadevi Branch, Kalbadevi, Mumbai",,2004-01-21
169.0,28-01-04,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,83.0,"Bank of India, Kalbadevi Branch, Kalbadevi, Mumbai",,2004-01-28
169.0,2/3/2004,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,97.7,"Bank of India, Kalbadevi Branch, Kalbadevi, Mumbai",,2004-03-02
169.0,2/5/2004,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,93.7,"Bank of India, Kalbadevi Branch, Kalbadevi, Mumbai",,2004-05-02
169.0,2/9/2004,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,125.3,"Bank of India, Kalbadevi Branch, Kalbadevi, Mumbai",,2004-09-02
169.0,2/11/2004,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,127.0,"Bank of India, Kalbadevi Branch, Kalbadevi, Mumbai",,2004-11-02
